[0.000s] Experiment Started
[5.223s] Block 1 Started
[553.156s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[555.189s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[558.205s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[560.238s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[563.255s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[565.288s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[568.288s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[570.321s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[573.338s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[575.371s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[578.373s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[580.405s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[583.420s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[585.453s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[588.470s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[590.503s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[593.520s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[595.553s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[598.569s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[600.602s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[603.605s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[605.636s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[608.652s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[610.668s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[613.685s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[615.718s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[618.720s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[620.751s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[623.768s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[625.801s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
